track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,rn,playlists_total_outros,charts_total_outros,presenca_total_outros
7512111,3,0,2,0,0,1,5,0,5
1771212,19,0,15,0,0,1,34,0,34
5087776,2,0,4,0,0,1,6,0,6
1769305,0,0,30,0,0,1,30,0,30
7556948,2,0,10,0,0,1,12,0,12
5080031,0,0,25,0,0,1,25,0,25
8143341,16,0,9,0,0,1,25,0,25
2061546,7,0,203,0,2,1,210,2,212
6621439,11,0,2,0,0,1,13,0,13
1906058,76,0,102,0,2,1,178,2,180
3186172,1,0,5,0,0,1,6,0,6
8333879,44,0,159,0,0,1,203,0,203
3049716,39,0,7341,0,0,1,7380,0,7380
5046895,5,0,862,0,0,1,867,0,867
8186517,24,0,396,0,0,1,420,0,420
2577311,38,0,4,0,0,1,42,0,42
5418507,10,0,39,0,0,1,49,0,49
8835305,10,0,70,0,0,1,80,0,80
5005107,1,0,3,0,0,1,4,0,4
5191929,21,0,31,0,0,1,52,0,52
3154799,2,0,12,0,10,1,14,10,24
7243247,0,0,31,0,0,1,31,0,31
1166211,1,0,9,0,0,1,10,0,10
4162862,0,0,0,0,0,1,0,0,0
3814670,3,0,63,0,353,1,66,353,419
6009839,32,0,19,0,0,1,51,0,51
3210546,15,0,0,0,0,1,15,0,15
2861036,22,0,23,0,0,1,45,0,45
1713130,1,0,4,0,0,1,5,0,5
6774092,7,0,7,0,0,1,14,0,14
2835063,29,0,44,0,0,1,73,0,73
4782067,19,0,38,0,0,1,57,0,57
3509026,0,0,806,0,0,1,806,0,806
3786238,0,0,2,0,0,1,2,0,2
2612867,3,0,2,0,0,1,5,0,5
8033263,31,0,19,0,2,1,50,2,52
4464368,3,0,5,0,0,1,8,0,8
5442505,0,0,0,0,0,1,0,0,0
7165052,8,0,29,0,0,1,37,0,37
8941056,32,0,12,0,0,1,44,0,44
3841850,14,0,11,0,0,1,25,0,25
3469822,9,0,15,0,1,1,24,1,25
8553734,2,0,7,0,0,1,9,0,9
2341529,4,0,8,0,0,1,12,0,12
6987709,0,0,0,0,0,1,0,0,0
2008299,82,0,2946,0,0,1,3028,0,3028
5311211,45,0,107,0,0,1,152,0,152
7762851,9,0,8,0,0,1,17,0,17
1532170,38,0,24,0,0,1,62,0,62
8164697,21,0,44,0,0,1,65,0,65
